Pgroup	Pname
BEER	PIWO KSIAZECE ZWROT CZERWONY
VEGETABLES	KAPUSTA CZERWONA
DRINK_JUICE	WODA KROPLA BESKIDU GAZ
DAIRY_CHESSE	BAKOMA ZBŁZ MEN
LUNCH DINING DISHES	DANIE KACHNY PULPETY
VEGETABLES	POMIDOR KOKTAILOWY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KAWA ZBOZOWA KUJAWIANKA
ICE_CREAMS_FROZEN	LODY JOCKER KORAL
CHEWING_GUM_LOLIPOPS	GUMA ORBIT BAG SPEARMINT
BREAD	CHLEB MALY
BREAD	CHLEB MALY KROJONY
DAIRY_CHESSE	ALMETTE OGOREK ZIOLA
CIGARETTES	PAP MARLBORO RED MIEKK
CANNED_PATE	PIEROGI SEREM OWOC TACKA
SPICES	MARCO POLO JARZYNKA BEZ SOLI
GENERAL	WIN GALARETKA PRZEZROCZYSTA
CIGARETTES	PAP BLU
GENERAL	KROKIETY MIESEM GRZESKOWIAK
SWEETS	MILKA CZEK TRUSKAW
SPICES	GALEO PRZYPRAWA GYROSA
MEAT	GALANTYNA DROBIEM
DRINK_JUICE	WODA ZYWIEC GAZ TRUSKA
ICE_CREAMS_FROZEN	GROSZEK MARCH NORDIS
CHEMISTRY	AJAX PROSZEK CZYSZCZENIA
CHEMISTRY	TEMPEROWKA
BREAD	CHLEB KROJONY
CHEMISTRY	WYBIELACZ FIERANEK
SWEETS	WAFLE FAMILIJNE SMIETANKOWE
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
COFFEE TEA	JACOBS CRONAT GOLD
DRINK_JUICE	WODA PRIMAVERA GAZ
DRINK_JUICE	WODA PRIMAVERA GAZ
DAIRY_CHESSE	ALMETTE OGOREK ZIOLA
CHEMISTRY	ZAPALNICZKA
CHIPS_FLAKES	LAYS STRONG CHILI
BREAD	CHLEB RAZOWY
ICE_CREAMS_FROZEN	PYZZY MIESEM
CANNED_PATE	PROFI PASZTET PAPRYKA
COOKIES_BULK	KARPATKA FLIS RŁZNE SMAKI
CHEMISTRY	ZAPALNICZKA
GENERAL_FOOD	CYKORIA BUDYN WANILIOWY
DRINK_JUICE	WODA ZYWIEC DELIKATNIE GAZOWANA
ICE_CREAMS_FROZEN	KOPYTKA
CHEMISTRY	PERSIL ZEL
VODKA_ALCOHOL	WODKA ZUBR
SPICES	GALEO PRZYPRAWA GYROSA
SWEETS	MILKA CZEK OREO
SWEETS	DELICJE POMARANCZOWE
ICE_CREAMS_FROZEN	SZPINAK LISC
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
DAIRY_CHESSE	ALMETTE ZIOLOWY SEREK
BEER	PIWO OKOCIM PILS ZWROTNA
CHEMISTRY	TORBA
ICE_CREAMS_FROZEN	LODY ROZEK AGAT
DAIRY_CHESSE	KASZKA MANNA TRUSKAWKA CZARNKOW
DRINK_JUICE	KUBUS MAR BRZOS JAB
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
DRINK_JUICE	NAP TYMBARK JAB
SPICES	PRYMAT GRILL KLASYCZNY
CIGARETTES	PAP CHESTERFIELD PSTRYK
CHIPS_FLAKES	SLONACZNIK PRAZONY LEKKO SOLONY
DRINK_JUICE	WODA GAZ BUT SZKL ZWROTNEJ
CHEMISTRY	MYDLO ARKO KREMEM ZIELONE
GENERAL	AMINO BLYSK BARSZCZ CZERW MAJERANKIEM
GENERAL	BERLISO CZEKOL
WINE_ALCOHOL 18%	WINO TRILVINO CZERW PŁLW
SPICES	KNOR ROSOL WOLOWY
CHEMISTRY	PERWOLL BLACK MAGIC
VODKA_ALCOHOL	WODKA
DRINK_JUICE	NAP NAPI MULTIWITAMINA
ICE_CREAMS_FROZEN	ZAPIEKANKA SZYN PIECZ
CHEMISTRY	PASTA COLODENT BIEL
COOKIES_BULK	ROZKI NADZIEWANE FLIS LUZ
DAIRY_CHESSE	SER SMAZONY KOWALEW
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN SOS TATARSKI
VEGETABLES	KAPUSTA WCZESNA SZT
OCCASIONAL	BOMB MILKA LOVE
DRINK_JUICE	NAP TIGER PUSZKA
SWEETS	MARCHEW GROSZKIEM FRUBEX
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	LAURKA
ICE_CREAMS_FROZEN	KALAFIOR MROZONY NORDIS
DRINK_JUICE	PEPSI COLA
SPICES	APPETITA CHILI
GENERAL_FOOD	SKORUPKA SALATKA WARZYWNA
COOKIES_BULK	CIAST KOWOLKI PUDER MARMOLADA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	DZEM TRUSKAWKA WYSOKOS ODZONY
VEGETABLES	POMIDOR MALINOWY
SWEETS	TIK TAK MIETA
ICE_CREAMS_FROZEN	LODY PIPI KAKAOWE
CIGARETTES	PAP MINT
GENERAL_FOOD	KNORR SOS SEROWY
VEGETABLES	SKORUPKA BURACZKI WIORKI
CIGARETTES	PAP BLU LINK
DAIRY_CHESSE	MAR SMAKOWITA
DRINK_JUICE	NAP AQA GAZ ZURAWINA
DRINK_JUICE	NAP FANTA PUSZKA
CIGARETTES	PAP RED
ICE_CREAMS_FROZEN	ZUPA OGORKOWA
CHEMISTRY	PLYTA DVD
VODKA_ALCOHOL	NAP SPIR BARMANSKA ARBUZ
GROATS_RICE_PASTA	BRANSOLETKA CUKIERKŁW
CHEMISTRY	LAKIER WLOS SYNTEZA ZAPAS
ICE_CREAMS_FROZEN	LODY BIG MILK FRUUT
OCCASIONAL	NAP OSHE ZERO MULTI
DRINK_JUICE	NAP TYMBARK JAB KIWI ASEPTIK PET
CHEMISTRY	PLUKANIA
GENERAL_FOOD	PUDL KUKURYDZA PUSZKA
DRINK_JUICE	NAP TIGER PUSZKA
PET'S FOOD	KARMA DOG PUSZKA WOLOW WARZYW
GENERAL_FOOD	SONKO RYZ BIALY
CHEMISTRY	PAPIER SNIADANIOWY SZT PAN PACK
CHIPS_FLAKES	STAR CHIPS PAPRYKA
ICE_CREAMS_FROZEN	LODY TORTUFFO CZEKOLADA
COOKIES_BULK	CIAST KOWOLKA JEZYKI KOKOSANKI
CHEMISTRY	CHUSTECZKI NAS SZT
GENERAL_FOOD	SKORUPKA SALATKA WARZYWNA
SPICES	KNORR FIX STROGONOFF
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	BRYKIET WEGLA
DRINK_JUICE	WODA USTRONIANKA GAZ JABLKO
GENERAL_FOOD	PIWO BOJAN GRUSZKOWE ZWR
CHIPS_FLAKES	CHRUPKI TRUSKAWKOWE
WINE_ALCOHOL 18%	WINO MOGEN LROZOWE
DAIRY_CHESSE	GOS MLEKO ZAGESZCZ GOSTYN
CIGARETTES	PAP RGD LINK BLU
SPICES	GALEO LISC LAUROWY
SWEETS	PAP LINK BLU
VEGETABLES	NAP TYMBARK JABLKO ANT TLOCZONY
ICE_CREAMS_FROZEN	LODY CADENZA
DRINK_JUICE	NAP OSHE MLORANGE
ICE_CREAMS_FROZEN	LODY GEMINI
BEER	PIWO OKOCIM REDLER GREJFR
BEER	PIWO LECH PREMIUM BUTELKA
